department,arrival_time,number_of_patients,doctor_availability,day_of_week,emergency_status,previous_waiting_time,waiting_time_minutes
Pediatrics,08:30,24,4,Wednesday,Normal,49.7,61.9
General,16:15,26,2,Tuesday,Normal,37.9,101.8
General,09:15,14,6,Monday,Normal,25.6,28.6
Pediatrics,09:00,30,3,Sunday,Normal,14.3,90.4
Pediatrics,12:00,26,1,Monday,Normal,12.3,58.3
Surgery,05:00,23,4,Wednesday,Normal,54.2,78.2
Cardiology,13:30,28,5,Sunday,Normal,29.9,86.9
General,13:45,24,2,Thursday,Normal,34.3,77.9
Pediatrics,09:15,28,1,Saturday,Normal,52.9,118.3
Surgery,13:45,28,5,Tuesday,Normal,32.9,78.8
Surgery,14:30,27,6,Saturday,Normal,14.8,101.1
Orthopedics,16:30,23,6,Friday,Normal,39.3,59.6
Surgery,14:30,18,6,Tuesday,Emergency,37.8,47.4
Pediatrics,11:00,27,7,Sunday,Emergency,47.4,60.3
Orthopedics,12:30,17,5,Thursday,Normal,40.9,32.3
Cardiology,21:30,31,5,Saturday,Normal,31.7,85.3
Cardiology,12:00,27,4,Monday,Normal,15.6,58.5
General,10:15,36,2,Sunday,Emergency,21.8,104.7
Orthopedics,19:00,21,2,Monday,Normal,86.3,75.3
General,10:00,20,5,Monday,Normal,43,77
Cardiology,10:45,16,5,Thursday,Emergency,26,30.8
General,12:00,23,3,Thursday,Normal,15.6,64.6
Orthopedics,10:30,14,4,Friday,Normal,56.4,65.3
Surgery,10:45,15,9,Friday,Normal,38.4,35.7
Surgery,13:15,22,2,Tuesday,Normal,63.4,72.4
General,12:15,25,3,Tuesday,Normal,70,79.3
Cardiology,12:00,25,2,Wednesday,Normal,38.4,63
Orthopedics,13:30,18,4,Tuesday,Normal,79.3,52.1
General,15:45,22,4,Tuesday,Normal,25.4,82.4
Orthopedics,17:00,20,1,Wednesday,Emergency,35.9,56.1
General,12:15,22,5,Tuesday,Normal,50.1,47.7
General,10:30,31,8,Monday,Normal,32,76.3
General,06:45,31,2,Saturday,Emergency,40.4,83.3
Surgery,01:00,19,5,Tuesday,Normal,38.5,52.9
Cardiology,13:45,34,6,Tuesday,Normal,48.5,79.1
Pediatrics,16:45,16,3,Tuesday,Normal,46,72.1
General,05:15,22,2,Monday,Normal,47.4,79.1
Cardiology,13:00,19,5,Monday,Normal,45.7,56.1
General,12:30,19,7,Friday,Normal,50.3,25.8
General,13:00,27,2,Wednesday,Emergency,22,68.7
Pediatrics,13:00,21,7,Wednesday,Normal,26.4,24.1
Pediatrics,15:15,22,4,Friday,Normal,42.6,57.3
Cardiology,09:00,19,8,Thursday,Normal,15.5,52
Surgery,12:15,35,4,Monday,Normal,24.1,112.7
Pediatrics,14:00,12,6,Wednesday,Normal,40,51.3
General,11:00,25,8,Tuesday,Normal,40.5,82.9
Surgery,20:00,32,3,Saturday,Normal,48.6,110
General,08:15,17,1,Thursday,Normal,66.1,97.4
Surgery,14:30,32,3,Saturday,Normal,44,140.4
Pediatrics,07:45,29,4,Saturday,Normal,34.8,74.5
Pediatrics,13:45,23,3,Sunday,Normal,75.1,73.1
General,17:30,20,4,Thursday,Emergency,36.6,55.5
Orthopedics,12:00,30,5,Sunday,Normal,56.3,80.8
Surgery,14:15,26,4,Thursday,Normal,38.4,89.7
Cardiology,13:15,28,4,Wednesday,Normal,69.5,75.8
Cardiology,12:30,16,7,Wednesday,Normal,15.2,21.9
Pediatrics,14:15,15,4,Friday,Normal,23.3,53.9
General,02:30,23,4,Tuesday,Normal,28,62.8
Cardiology,08:45,20,3,Wednesday,Emergency,17.9,53
Cardiology,09:30,27,4,Monday,Emergency,23.5,76.1
Cardiology,04:30,28,6,Sunday,Normal,54.4,81.2
General,06:30,18,3,Tuesday,Normal,13.4,52
Surgery,16:30,16,3,Sunday,Normal,60,104.9
Cardiology,07:30,13,2,Monday,Normal,23,31.2
Orthopedics,11:00,18,5,Friday,Normal,44,61.4
Orthopedics,07:15,31,10,Sunday,Emergency,32.8,40.1
Surgery,18:15,20,7,Friday,Normal,50,58.8
Surgery,16:30,21,7,Monday,Normal,20.8,66.1
Cardiology,08:45,16,4,Thursday,Normal,37.7,74.1
Pediatrics,08:30,18,3,Wednesday,Normal,50,55
General,17:00,24,6,Monday,Normal,26.1,72.3
Surgery,19:15,14,6,Monday,Normal,36.3,34.5
Surgery,07:00,15,4,Friday,Normal,37,43.9
General,14:30,18,3,Tuesday,Normal,18.6,72.1
Pediatrics,12:45,16,3,Thursday,Normal,62.5,42.9
General,14:45,26,6,Saturday,Normal,30.9,94.8
Cardiology,10:30,23,4,Tuesday,Normal,34.5,81.6
General,19:15,24,7,Friday,Normal,69,56.5
Surgery,13:45,17,5,Wednesday,Normal,18.7,30.8
Surgery,09:30,26,6,Saturday,Normal,5,89.7
Surgery,08:30,17,5,Friday,Normal,29.4,70.2
Pediatrics,05:45,17,2,Friday,Normal,24.9,54.6
General,07:45,11,3,Monday,Normal,41.9,18.6
Surgery,07:15,26,4,Friday,Emergency,24.5,58
Orthopedics,21:30,18,4,Monday,Emergency,57.8,13.8
Pediatrics,05:00,16,5,Wednesday,Normal,26.2,24
General,14:45,12,3,Friday,Normal,59.6,52.9
Cardiology,08:30,21,4,Friday,Normal,35.4,80.2
Surgery,05:00,27,5,Thursday,Normal,25.4,81.4
Orthopedics,09:45,23,3,Saturday,Normal,52.3,83.8
Orthopedics,11:15,29,2,Tuesday,Emergency,48.4,58
Orthopedics,11:15,30,9,Saturday,Normal,56.7,104.6
Surgery,10:45,20,8,Monday,Normal,54.7,81
General,14:15,15,5,Wednesday,Normal,59,68.4
Orthopedics,01:45,21,8,Wednesday,Normal,19.9,19.4
Orthopedics,15:00,20,1,Friday,Normal,40,62.5
General,12:45,26,6,Wednesday,Normal,53.7,58.2
Orthopedics,08:30,29,4,Saturday,Normal,34.1,88.4
Orthopedics,09:00,21,5,Monday,Normal,60.4,78.2
Orthopedics,06:00,17,5,Friday,Normal,63,40.2
Orthopedics,05:45,23,3,Wednesday,Normal,54,69.5
Orthopedics,10:15,19,3,Thursday,Normal,50.5,83.5
Orthopedics,16:00,19,2,Friday,Normal,28,60.7
Orthopedics,03:00,19,3,Friday,Normal,19,55.5
General,13:15,22,9,Sunday,Normal,38.3,56.2
General,05:45,26,7,Sunday,Normal,16.3,57.9
Cardiology,09:45,18,4,Monday,Normal,38.6,65.4
Surgery,09:30,24,6,Monday,Normal,35.2,84.1
General,09:30,27,5,Sunday,Normal,36.8,111.7
Orthopedics,18:30,32,8,Saturday,Normal,12.6,53.9
Pediatrics,02:15,17,7,Friday,Normal,8.9,2
General,08:30,19,5,Thursday,Normal,50.4,56.3
Surgery,06:00,22,3,Thursday,Emergency,40,39.2
Surgery,13:00,22,3,Sunday,Normal,67.4,95.3
General,06:45,21,6,Tuesday,Normal,28.5,46.2
Orthopedics,09:15,23,1,Friday,Normal,53.5,101.4
Cardiology,16:00,35,4,Saturday,Normal,35.5,108.6
General,11:00,13,3,Wednesday,Normal,43.2,53.7
Surgery,12:00,28,6,Wednesday,Normal,63.5,81.7
Orthopedics,09:45,21,2,Tuesday,Normal,51.5,82.4
Cardiology,16:45,31,5,Sunday,Normal,15.8,84.2
Orthopedics,11:30,27,4,Tuesday,Normal,37.9,82.2
Surgery,07:45,31,3,Saturday,Normal,56.6,119
Cardiology,17:00,26,3,Sunday,Emergency,54.4,82.3
Surgery,14:45,20,3,Friday,Normal,21.4,91.6
Orthopedics,15:00,21,2,Monday,Normal,42.3,81.5
General,14:45,11,7,Friday,Normal,49.5,38
Cardiology,18:00,18,2,Friday,Normal,10.7,38.4
Orthopedics,06:15,28,3,Monday,Emergency,11,25.5
Cardiology,07:45,17,7,Thursday,Normal,34.3,36.6
Pediatrics,20:15,15,3,Tuesday,Normal,62.4,50.5
Cardiology,09:00,25,5,Monday,Normal,40.5,83.7
Pediatrics,08:15,13,6,Thursday,Normal,46.9,30.9
Orthopedics,14:15,26,4,Friday,Normal,30.3,81.4
General,12:00,21,2,Monday,Normal,34.2,64.2
Cardiology,14:45,31,8,Saturday,Normal,26.7,108.4
Orthopedics,09:45,30,5,Sunday,Normal,52.5,107.8
General,02:00,14,7,Wednesday,Normal,51.8,38.6
Cardiology,14:30,17,5,Thursday,Normal,55.9,61.6
Cardiology,02:15,23,6,Monday,Normal,46.9,53.6
Pediatrics,11:45,26,9,Sunday,Normal,54.5,69.9
General,10:15,18,6,Wednesday,Normal,63,61.9
Orthopedics,10:15,24,2,Friday,Normal,53,88.9
Cardiology,12:30,14,8,Wednesday,Emergency,63.3,9.7
Cardiology,20:30,26,10,Wednesday,Normal,44.2,52.6
Pediatrics,17:30,29,2,Tuesday,Normal,38.2,92.6
Orthopedics,01:00,21,3,Tuesday,Emergency,42.4,35.7
General,13:15,28,4,Tuesday,Emergency,16.7,41.4
Cardiology,05:15,22,3,Wednesday,Emergency,33.1,30.9
Pediatrics,16:15,16,9,Wednesday,Normal,55.6,46.1
Cardiology,11:15,38,7,Saturday,Emergency,46.5,77.6
Surgery,15:45,28,6,Saturday,Emergency,29.9,87.8
Surgery,10:15,15,3,Wednesday,Normal,22.9,68.7
Pediatrics,06:00,20,8,Friday,Normal,36.6,22.1
Pediatrics,17:30,9,3,Monday,Normal,23.2,53.8
Orthopedics,06:45,36,12,Saturday,Normal,53,65.6
Surgery,12:45,13,5,Thursday,Normal,33.2,28.3
Orthopedics,17:00,21,8,Tuesday,Normal,25.7,41.8
General,14:30,23,7,Wednesday,Normal,48.6,76.1
Orthopedics,05:30,16,6,Tuesday,Emergency,14.8,12
Cardiology,13:45,24,5,Wednesday,Normal,82.7,67.4
Surgery,15:45,29,8,Sunday,Normal,36.4,106.8
Surgery,11:15,17,3,Wednesday,Normal,40.6,68.3
General,11:00,17,4,Tuesday,Normal,41.7,56.6
Orthopedics,17:15,24,7,Monday,Normal,26.4,65.3
Pediatrics,10:15,21,5,Thursday,Emergency,42.6,45.1
Surgery,14:00,18,3,Monday,Normal,6.3,74
Orthopedics,14:30,17,6,Thursday,Normal,45.2,51.9
Cardiology,08:45,26,7,Sunday,Normal,37.2,92.3
Pediatrics,12:45,41,5,Sunday,Normal,32.5,93.7
Surgery,05:15,18,5,Friday,Normal,64.5,68.8
General,12:30,18,3,Thursday,Emergency,33.4,33.2
General,11:30,23,7,Wednesday,Normal,6.1,65.2
Cardiology,11:45,25,1,Monday,Emergency,36.5,59.2
Pediatrics,07:30,16,3,Monday,Normal,29.3,36.3
Surgery,05:45,20,5,Friday,Normal,23.2,52.4
Orthopedics,11:15,20,2,Tuesday,Normal,38.5,85.6
Orthopedics,13:00,27,9,Sunday,Normal,42.5,60.7
Pediatrics,10:30,29,2,Friday,Normal,27.9,84.2
Pediatrics,16:00,21,3,Friday,Normal,50,78.7
Cardiology,12:30,28,5,Tuesday,Normal,12.2,69.3
Surgery,19:00,15,4,Wednesday,Normal,33.7,48.9
Pediatrics,17:15,19,1,Tuesday,Emergency,20.8,53.8
Orthopedics,12:45,14,5,Thursday,Normal,38.4,20.6
General,11:00,27,2,Saturday,Emergency,58.3,103
Orthopedics,19:00,22,4,Saturday,Normal,35.3,73.1
Surgery,10:15,28,7,Sunday,Normal,48.9,113.7
Cardiology,08:30,24,6,Tuesday,Normal,35.5,75.9
Orthopedics,07:45,22,5,Sunday,Normal,64.6,58.8
General,09:15,22,1,Thursday,Emergency,38.6,73
Orthopedics,17:00,31,6,Saturday,Normal,13.6,85.2
Pediatrics,11:00,22,4,Thursday,Normal,40.7,75.1
Orthopedics,06:15,22,8,Friday,Normal,35.6,36.6
Surgery,10:15,22,3,Friday,Emergency,60.3,76.1
Cardiology,15:30,35,3,Saturday,Normal,51.3,131.2
Cardiology,06:30,17,4,Friday,Normal,57.9,61.5
Pediatrics,10:15,25,5,Monday,Normal,30.5,61.8
Pediatrics,14:45,23,2,Friday,Normal,51.5,84
General,07:45,30,2,Saturday,Normal,22.2,99.9
Cardiology,05:00,21,7,Monday,Normal,32.5,38.1
Orthopedics,08:45,34,3,Sunday,Emergency,24,86.8
Pediatrics,00:30,31,5,Saturday,Normal,48.2,91.2
Pediatrics,19:15,26,4,Saturday,Normal,40.4,71.5
Cardiology,02:15,30,8,Sunday,Emergency,30.5,49.9
Orthopedics,12:15,25,6,Thursday,Normal,37.1,52.8
General,09:00,23,3,Wednesday,Normal,37.7,91.5
Pediatrics,11:15,15,3,Wednesday,Normal,21.2,63.2
Surgery,16:00,37,5,Saturday,Normal,28.9,149.4
Orthopedics,11:45,20,4,Thursday,Normal,31.8,62.2
Orthopedics,13:45,13,4,Tuesday,Normal,34.9,38.6
General,15:15,24,5,Thursday,Normal,25.8,84.1
General,21:45,19,7,Friday,Emergency,50.6,7.1
General,14:15,31,2,Saturday,Normal,19.5,120.1
General,07:45,22,3,Thursday,Normal,37.5,62.3
Cardiology,15:15,26,6,Thursday,Normal,25.4,57.2
General,12:30,20,5,Tuesday,Normal,58.5,57.4
Surgery,07:00,32,7,Sunday,Normal,39.1,101.8
General,20:45,28,4,Friday,Normal,43.3,70.5
General,10:45,22,9,Wednesday,Normal,24.6,46.2
Orthopedics,12:00,24,7,Monday,Normal,34.6,37.4
Cardiology,15:15,20,4,Friday,Normal,37,75
Orthopedics,07:15,22,5,Saturday,Normal,51,75.2
Surgery,09:15,37,7,Wednesday,Normal,37.4,113.2
Cardiology,07:30,31,7,Sunday,Normal,45.1,88.5
Pediatrics,08:30,19,6,Thursday,Normal,60.1,56.3
General,13:15,30,2,Saturday,Normal,12.6,92
Pediatrics,05:15,14,8,Monday,Normal,28.7,9.7
Pediatrics,09:30,30,5,Saturday,Normal,46.8,86.1
Cardiology,12:30,20,9,Wednesday,Normal,41.6,38
Pediatrics,14:15,18,7,Tuesday,Normal,39.4,41.9
General,12:30,33,5,Sunday,Normal,36.7,88.6
Cardiology,08:15,25,10,Saturday,Emergency,49.9,37.9
Surgery,16:30,10,5,Wednesday,Emergency,22,21.5
Orthopedics,10:45,28,3,Sunday,Normal,39.5,113.5
General,13:30,31,3,Saturday,Normal,55.5,114.7
Surgery,12:45,20,4,Tuesday,Normal,28.8,58.6
Surgery,18:15,16,6,Monday,Normal,33.1,44.3
Orthopedics,20:00,22,9,Friday,Normal,28.3,27.4
Cardiology,09:00,21,3,Monday,Normal,57.6,96.2
General,08:30,26,5,Saturday,Normal,32.6,98.6
Orthopedics,11:00,20,4,Monday,Normal,28.9,57.5
Surgery,12:00,21,4,Thursday,Normal,37.4,56.1
General,19:00,22,2,Saturday,Normal,21.3,70.2
Pediatrics,13:15,25,9,Sunday,Emergency,38.7,22.5
Cardiology,08:30,30,5,Sunday,Normal,45.9,107.3
General,12:45,22,5,Sunday,Normal,44.9,72.8
Surgery,12:15,36,7,Sunday,Normal,30.8,124.2
Pediatrics,15:30,36,2,Sunday,Normal,24.7,117.7
General,15:00,18,5,Wednesday,Normal,49.7,64.6
Orthopedics,19:00,15,4,Thursday,Normal,37.4,29.9
Surgery,13:00,24,5,Saturday,Normal,50.4,86
Orthopedics,08:30,22,7,Monday,Normal,7.6,53
Pediatrics,09:45,22,5,Friday,Normal,54.6,61.2
Pediatrics,14:00,23,7,Friday,Normal,29.1,68.4
Orthopedics,10:30,26,5,Thursday,Normal,23.9,60.7
Pediatrics,06:30,26,6,Friday,Emergency,49.6,32.8
Orthopedics,17:15,13,7,Wednesday,Normal,45,45.8
Cardiology,08:30,22,2,Thursday,Normal,45.8,88
General,14:30,36,5,Sunday,Normal,53.9,133.9
Pediatrics,16:30,17,6,Friday,Normal,39.7,30.9
Pediatrics,13:15,29,5,Sunday,Normal,37.1,65.8
Cardiology,19:30,16,5,Thursday,Normal,42,29.7
General,11:30,29,6,Sunday,Emergency,23,79.9
Pediatrics,14:15,19,3,Sunday,Normal,73.8,84.4
Pediatrics,11:00,23,2,Saturday,Normal,56,101
Cardiology,12:15,17,4,Monday,Normal,37.1,48
General,09:45,28,8,Thursday,Normal,43.9,76.1
General,16:45,29,7,Tuesday,Emergency,52.6,73.8
Surgery,17:45,15,10,Monday,Emergency,45.8,25.2
Pediatrics,12:00,41,7,Saturday,Normal,6.6,54.1
Pediatrics,07:45,19,3,Monday,Normal,51.6,38.9
Cardiology,18:30,23,3,Friday,Normal,50,75.5
Pediatrics,14:15,22,4,Saturday,Emergency,37.9,54.4
Pediatrics,05:45,18,4,Thursday,Normal,43.6,52.9
Cardiology,06:00,21,4,Wednesday,Normal,57.1,51.1
Orthopedics,14:15,26,5,Sunday,Normal,34.4,89.5
General,10:45,25,6,Friday,Normal,60.4,96.8
Cardiology,16:15,17,9,Tuesday,Normal,37.4,24.6
General,10:00,23,4,Thursday,Normal,42,78.6
Cardiology,11:15,29,4,Saturday,Normal,35.3,123.5
Orthopedics,17:30,27,5,Wednesday,Normal,23.8,76.7
Cardiology,08:15,34,9,Sunday,Emergency,44.6,66.4
Cardiology,10:15,17,2,Tuesday,Normal,37.4,75.8
Orthopedics,17:15,19,6,Thursday,Normal,32.1,54.8
Surgery,06:15,22,5,Tuesday,Normal,20.5,49.3
General,12:00,27,7,Wednesday,Normal,53.4,59.3
Pediatrics,10:45,22,3,Thursday,Normal,49.8,78
Orthopedics,11:30,18,5,Thursday,Emergency,44.2,26.7
General,11:15,18,3,Monday,Normal,61.1,80.6
Orthopedics,14:45,24,6,Monday,Normal,39.3,63
Surgery,04:00,24,6,Saturday,Normal,40.5,91.7
Cardiology,11:30,19,6,Wednesday,Emergency,61.4,40.8
Pediatrics,11:15,24,7,Thursday,Normal,52.1,61.1
General,12:45,26,2,Thursday,Normal,37.6,69.2
General,07:45,30,6,Saturday,Normal,37,94.9
Cardiology,13:30,25,3,Saturday,Normal,55.4,102.5
Cardiology,18:00,23,6,Wednesday,Normal,47.3,43
Orthopedics,17:15,27,3,Sunday,Normal,37.8,109
Surgery,20:00,27,3,Sunday,Normal,13.8,91.1
Pediatrics,07:30,17,8,Thursday,Normal,42.9,8.8
Orthopedics,12:00,33,3,Sunday,Normal,44.9,103.4
Surgery,17:00,29,4,Tuesday,Normal,31.9,114.1
Cardiology,10:30,26,5,Thursday,Normal,21.5,63.1
Cardiology,16:00,38,6,Sunday,Normal,32.7,114
Surgery,16:15,27,7,Tuesday,Normal,41.1,97.1
General,18:00,19,4,Friday,Normal,48.1,49.3
Cardiology,10:30,18,6,Friday,Normal,13.6,55.5
Surgery,10:30,31,4,Sunday,Normal,33.1,127.6
General,14:00,24,4,Thursday,Normal,41.8,84.8
Cardiology,09:15,36,2,Sunday,Normal,57.5,138.3
Pediatrics,11:45,25,5,Sunday,Normal,72.9,83.9
Pediatrics,13:45,25,5,Friday,Normal,52,43.7
General,15:15,21,9,Wednesday,Normal,30.7,62.9
Surgery,12:30,19,3,Friday,Emergency,41.5,39.6
Cardiology,12:00,25,4,Friday,Normal,39.1,63.2
Surgery,08:30,21,7,Sunday,Normal,39.8,82.6
Pediatrics,11:00,24,3,Friday,Normal,47.4,75
Surgery,08:00,20,7,Friday,Normal,50.1,70.1
Pediatrics,13:30,20,9,Sunday,Emergency,16.5,7.7
General,06:45,16,6,Wednesday,Normal,51.1,47.9
General,15:00,26,3,Thursday,Normal,38.1,84.8
Cardiology,09:45,29,7,Sunday,Normal,54.4,94.1
Cardiology,07:45,13,5,Thursday,Normal,36.5,32
Pediatrics,13:30,30,4,Sunday,Normal,50.6,92.8
Surgery,06:15,37,8,Saturday,Normal,48.1,121.2
Orthopedics,12:30,24,5,Thursday,Normal,40.5,47
Cardiology,10:15,16,1,Monday,Normal,35.6,71
Cardiology,20:30,18,3,Friday,Normal,27.9,58.4
Surgery,12:45,19,4,Wednesday,Normal,20.7,58.8
Pediatrics,12:30,23,2,Tuesday,Normal,31.1,40.9
Pediatrics,09:30,21,4,Monday,Emergency,26.6,36.7
Surgery,14:45,25,5,Thursday,Normal,33.9,95
Orthopedics,13:15,23,2,Thursday,Normal,41.9,65.5
Cardiology,15:00,17,6,Tuesday,Emergency,27.5,27.1
Orthopedics,11:00,19,4,Thursday,Emergency,28.6,38.1
Cardiology,09:00,24,10,Monday,Emergency,43.4,27.8
Pediatrics,13:45,33,3,Sunday,Normal,54.3,88.3
Pediatrics,14:30,19,4,Wednesday,Normal,22.8,66.3
Pediatrics,06:45,20,2,Monday,Normal,30.5,45.1
Surgery,14:15,26,6,Wednesday,Normal,43,108.7
Pediatrics,16:45,24,3,Tuesday,Normal,29.3,82.2
Surgery,07:00,26,8,Wednesday,Normal,46.6,65.8
Cardiology,11:30,19,9,Saturday,Normal,33.5,76.2
Pediatrics,06:15,14,7,Monday,Normal,55.7,21.6
General,12:45,23,4,Monday,Normal,62.6,71.4
Pediatrics,04:30,16,2,Wednesday,Normal,62.9,47.6
General,10:15,22,5,Wednesday,Normal,42.9,74.5
Orthopedics,16:00,36,6,Sunday,Normal,47.1,111.4
Orthopedics,14:00,24,2,Friday,Normal,48.8,77.7
Pediatrics,08:15,22,2,Tuesday,Normal,70.6,98.2
Cardiology,11:00,25,3,Monday,Emergency,64.1,82.1
Orthopedics,16:30,20,8,Friday,Normal,50.2,49.8
Pediatrics,11:30,22,3,Tuesday,Emergency,41.3,48.8
General,07:30,19,4,Tuesday,Normal,63.8,61.9
Pediatrics,11:15,20,4,Wednesday,Normal,27.9,45.9
Orthopedics,15:15,26,4,Sunday,Normal,62.3,106.5
Pediatrics,11:15,23,8,Sunday,Emergency,40,31
Surgery,13:00,25,4,Sunday,Normal,26,97.2
General,13:15,20,7,Tuesday,Normal,44.2,41.4
General,17:30,21,5,Friday,Normal,33.4,70.2
Pediatrics,10:45,26,4,Monday,Normal,63.4,87.5
Orthopedics,05:00,20,3,Monday,Normal,43.1,60
Cardiology,13:15,26,1,Sunday,Normal,54.8,108.3
Orthopedics,11:00,17,6,Friday,Normal,45.6,43
Pediatrics,06:15,24,4,Saturday,Normal,38.6,62.3
Cardiology,13:15,25,4,Thursday,Normal,45.9,60
Pediatrics,15:15,14,6,Monday,Normal,18.8,30.4
Pediatrics,05:15,19,7,Thursday,Normal,17.9,19.9
General,14:00,32,2,Saturday,Normal,41.7,131.5
Surgery,10:15,15,6,Friday,Normal,52.3,54.8
Orthopedics,18:15,21,2,Thursday,Normal,43.8,51.4
Orthopedics,16:45,26,6,Thursday,Emergency,41.9,43.3
Orthopedics,18:30,31,9,Sunday,Normal,37.2,64.6
General,10:45,20,3,Wednesday,Normal,85.6,92.5
Cardiology,09:15,12,6,Wednesday,Normal,13.2,35.5
Cardiology,10:30,26,6,Saturday,Emergency,71.9,84.1
General,16:00,34,6,Saturday,Emergency,77.1,100.3
Orthopedics,11:30,17,4,Friday,Normal,65.8,75.4
Pediatrics,07:15,19,4,Friday,Emergency,61.5,25
Surgery,14:00,19,4,Wednesday,Emergency,45.6,52.9
Pediatrics,12:45,17,6,Wednesday,Normal,23.9,27.8
Cardiology,08:15,29,2,Saturday,Normal,51.2,128.9
Surgery,08:15,23,5,Monday,Normal,49.3,107.2
Pediatrics,12:45,25,1,Tuesday,Emergency,29.7,53.3
Pediatrics,12:15,21,4,Monday,Normal,47.2,36.6
Surgery,12:00,18,3,Tuesday,Emergency,33.2,39.1
Surgery,13:30,22,4,Friday,Normal,67.7,67.9
Cardiology,08:30,25,4,Tuesday,Normal,23.6,68.9
Pediatrics,13:15,30,2,Sunday,Normal,66.7,90.8
Pediatrics,08:00,41,6,Saturday,Normal,31.8,105.3
Surgery,14:15,21,3,Wednesday,Emergency,47.1,46.8
General,15:30,17,4,Thursday,Normal,33.3,78.5
Cardiology,03:30,26,5,Saturday,Normal,40.5,70.2
General,14:00,18,8,Wednesday,Normal,55.8,69.7
Orthopedics,09:30,31,5,Sunday,Normal,18.7,98.1
Cardiology,16:30,32,3,Thursday,Emergency,40.1,64.1
Cardiology,17:15,19,5,Thursday,Emergency,36.1,42.9
General,17:45,25,6,Saturday,Normal,44.6,105.1
Orthopedics,17:15,29,8,Friday,Normal,46.9,85.7
Cardiology,09:45,22,5,Monday,Emergency,27.7,52.9
Orthopedics,11:45,19,6,Thursday,Normal,26.3,55.7
Surgery,17:15,22,3,Monday,Normal,52.6,104.4
General,10:30,20,6,Thursday,Normal,44,57.9
Orthopedics,10:45,17,8,Friday,Normal,56.9,52.6
General,10:30,17,5,Tuesday,Normal,69,89.3
General,19:30,20,4,Monday,Normal,25.5,58.6
Orthopedics,09:45,18,9,Monday,Normal,54.8,49.1
Cardiology,07:15,26,5,Thursday,Normal,32.2,57.3
Pediatrics,12:00,10,3,Friday,Normal,53.3,43.7
Surgery,09:00,20,4,Tuesday,Emergency,36.2,50.3
Cardiology,12:15,29,4,Sunday,Normal,28.1,73.2
Surgery,13:45,21,3,Tuesday,Normal,31.5,67.6
Cardiology,11:30,23,6,Thursday,Normal,68.9,84.8
Orthopedics,16:15,23,3,Friday,Emergency,34.6,52
Orthopedics,11:00,11,6,Friday,Emergency,47,11
General,12:15,34,7,Sunday,Normal,37.1,92.7
Cardiology,09:00,29,4,Wednesday,Normal,47.9,82.7
Pediatrics,10:15,19,3,Friday,Normal,31.9,61.3
General,11:15,22,5,Friday,Normal,29.7,66.8
Cardiology,06:15,17,7,Monday,Normal,34.5,21.2
Orthopedics,13:15,18,4,Wednesday,Normal,34.6,54.8
Surgery,12:15,25,5,Saturday,Normal,25.1,88.1
Cardiology,16:45,28,4,Saturday,Normal,55.1,110.3
General,15:15,18,7,Friday,Normal,22.1,43.4
General,08:15,25,4,Monday,Normal,45.8,84.3
Orthopedics,07:00,18,7,Friday,Emergency,27,2
General,20:00,32,5,Sunday,Normal,23.3,96.2
Pediatrics,07:45,29,7,Monday,Normal,14.2,55.1
General,14:30,21,1,Saturday,Normal,27.9,102.8
Surgery,11:00,24,5,Sunday,Normal,68.3,103.9
Orthopedics,13:45,19,6,Friday,Normal,57.2,45.6
Pediatrics,14:30,16,5,Thursday,Normal,57.1,49.6
General,16:15,19,6,Tuesday,Normal,42.9,73.4
Pediatrics,13:45,22,7,Wednesday,Normal,51.5,52
General,10:00,28,2,Thursday,Normal,69.2,119.6
Surgery,07:15,25,3,Tuesday,Normal,57.5,98.5
Surgery,16:15,17,4,Thursday,Normal,29.7,60.9
Orthopedics,09:00,35,6,Saturday,Normal,53.1,121.8
General,12:30,21,3,Sunday,Normal,37.4,61.4
General,11:45,34,4,Saturday,Normal,17.2,124.6
Cardiology,11:45,14,2,Friday,Normal,28.5,57.1
Cardiology,02:30,16,5,Wednesday,Emergency,23.4,20
Pediatrics,07:30,26,8,Monday,Emergency,44.1,23
Pediatrics,03:15,14,10,Thursday,Normal,23.1,11.9
Surgery,15:15,22,1,Monday,Normal,45.8,105.9
Orthopedics,08:30,25,1,Wednesday,Normal,61.9,121.7
Pediatrics,17:30,15,4,Monday,Normal,11.4,41.6
Surgery,10:30,17,1,Tuesday,Normal,41.8,98.1
General,11:45,24,4,Monday,Emergency,41.4,63.4
General,19:45,24,3,Sunday,Normal,15.7,69.7
Surgery,07:15,24,3,Wednesday,Normal,31.8,73.3
General,12:30,23,5,Monday,Normal,38.5,53.2
Pediatrics,13:15,19,5,Thursday,Emergency,39.8,5.1
Orthopedics,10:15,35,3,Saturday,Normal,25.1,109.2
Surgery,08:15,19,4,Friday,Normal,27.2,71.3
General,12:30,16,9,Monday,Normal,34.8,33
Pediatrics,11:30,25,7,Saturday,Emergency,34.7,57.6
Cardiology,11:45,24,1,Sunday,Normal,45.2,103.5
Cardiology,10:00,22,3,Monday,Emergency,35.8,54.5
Orthopedics,10:45,14,5,Wednesday,Normal,67.8,38.7
Surgery,14:00,24,2,Sunday,Emergency,50.7,83.6
Orthopedics,15:30,11,6,Friday,Normal,44.7,42.5
General,14:15,22,6,Thursday,Normal,34.7,66.2
Surgery,19:00,19,5,Thursday,Emergency,42.6,32.8
